label,query
6e,"select count(*) from 
movie_keyword AS mk 
join keyword AS k on (k.keyword = 'marvel-cinematic-universe' AND k.id = mk.keyword_id)
join title AS t on (t.production_year > 2000 AND t.id = mk.movie_id)
join
 (select person_id, movie_id from cast_info AS ci 
join name AS n on (n.name LIKE '%Downey%Robert%' AND n.id = ci.person_id)) as t_ci 
on(t_ci.movie_id = mk.movie_id);"
6f,"select count(*) from 
movie_keyword AS mk 
join keyword AS k on (k.keyword IN ('superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight','violence') AND k.id = mk.keyword_id)
join title AS t on (t.production_year > 2000 AND t.id = mk.movie_id)
JOIN cast_info AS ci  
on(ci.movie_id = mk.movie_id)
join name AS n on (n.id = ci.person_id);"
7a,"select count(*) from 
person_info AS pi 
join info_type AS it on (it.info ='mini biography' AND it.id = pi.info_type_id and pi.note ='Volker Boehm')
join name AS n on (n.name_pcode_cf BETWEEN 'A' AND 'F' AND (n.gender='m' OR (n.gender = 'f' AND n.name LIKE 'B%')) AND n.id = pi.person_id)
JOIN aka_name AS an  
on(an.person_id = pi.person_id and an.name LIKE '%a%')
JOIN cast_info AS ci  
on(ci.person_id = an.person_id)
join title AS t on (t.production_year BETWEEN 1980 AND 1995 AND t.id = ci.movie_id)
join
 (select linked_movie_id, movie_id from movie_link AS ml 
join link_type AS lt on (lt.link ='features' AND lt.id = ml.link_type_id)) as t_ml 
on(t_ml.linked_movie_id = ci.movie_id);"
7b,"select count(*) from 
person_info AS pi 
join info_type AS it on (it.info ='mini biography' AND it.id = pi.info_type_id and pi.note ='Volker Boehm')
join name AS n on (n.name_pcode_cf LIKE 'D%' AND n.gender='m' AND n.id = pi.person_id)
JOIN aka_name AS an  
on(an.person_id = pi.person_id and an.name LIKE '%a%')
JOIN cast_info AS ci  
on(ci.person_id = an.person_id)
join title AS t on (t.production_year BETWEEN 1980 AND 1984 AND t.id = ci.movie_id)
join
 (select linked_movie_id, movie_id from movie_link AS ml 
join link_type AS lt on (lt.link ='features' AND lt.id = ml.link_type_id)) as t_ml 
on(t_ml.linked_movie_id = ci.movie_id);"
7c,"select count(*) from 
movie_link AS ml 
join link_type AS lt on (lt.link IN ('references', 'referenced in', 'features', 'featured in') AND lt.id = ml.link_type_id)
join title AS t on (t.production_year BETWEEN 1980 AND 2010 AND ml.linked_movie_id = t.id)
JOIN cast_info AS ci  
on(ci.movie_id = ml.linked_movie_id)
JOIN aka_name AS an  
on(an.person_id = ci.person_id and an.name IS NOT NULL AND (an.name LIKE '%a%' OR an.name LIKE 'A%'))
JOIN person_info AS pi  
on(pi.person_id = an.person_id and pi.note IS NOT NULL)
join info_type AS it on (it.info ='mini biography' AND it.id = pi.info_type_id)
join name AS n on (n.name_pcode_cf BETWEEN 'A' AND 'F' AND (n.gender='m' OR (n.gender = 'f' AND n.name LIKE 'A%')) AND n.id = pi.person_id);"
8a,"select count(*) from 
movie_companies AS mc 
join company_name AS cn on (cn.country_code ='[jp]' AND mc.company_id = cn.id and mc.note LIKE '%(Japan)%' AND mc.note NOT LIKE '%(USA)%')
join title AS t on (t.id = mc.movie_id)
JOIN cast_info AS ci  
on(ci.movie_id = mc.movie_id and ci.note ='(voice: English version)')
join role_type AS rt on (rt.role ='actress' AND ci.role_id = rt.id)
JOIN aka_name AS an1  
on(an1.person_id = ci.person_id)
join name AS n1 on (n1.name LIKE '%Yo%' AND n1.name NOT LIKE '%Yu%' AND an1.person_id = n1.id);"
8b,"select count(*) from 
movie_companies AS mc 
join title AS t on (t.production_year BETWEEN 2006 AND 2007 AND (t.title LIKE 'One Piece%' OR t.title LIKE 'Dragon Ball Z%') AND t.id = mc.movie_id and mc.note LIKE '%(Japan)%' AND mc.note NOT LIKE '%(USA)%' AND (mc.note LIKE '%(2006)%' OR mc.note LIKE '%(2007)%'))
join company_name AS cn on (cn.country_code ='[jp]' AND mc.company_id = cn.id)
JOIN cast_info AS ci  
on(ci.movie_id = mc.movie_id and ci.note ='(voice: English version)')
join role_type AS rt on (rt.role ='actress' AND ci.role_id = rt.id)
JOIN aka_name AS an  
on(an.person_id = ci.person_id)
join name AS n on (n.name LIKE '%Yo%' AND n.name NOT LIKE '%Yu%' AND an.person_id = n.id);"
8c,"select count(*) from 
aka_name AS a1 
join name AS n1 on (a1.person_id = n1.id)
join
 (select person_id, movie_id from cast_info AS ci 
join role_type AS rt on (rt.role ='writer' AND ci.role_id = rt.id)
join title AS t on (ci.movie_id = t.id)) as t_ci 
on(t_ci.person_id = a1.person_id)
JOIN movie_companies AS mc  
on(mc.movie_id = t_ci.movie_id)
join company_name AS cn on (cn.country_code ='[us]' AND mc.company_id = cn.id);"
8d,"select count(*) from 
aka_name AS an1 
join name AS n1 on (an1.person_id = n1.id)
join
 (select person_id, movie_id from cast_info AS ci 
join role_type AS rt on (rt.role ='costume designer' AND ci.role_id = rt.id)
join title AS t on (ci.movie_id = t.id)) as t_ci 
on(t_ci.person_id = an1.person_id)
JOIN movie_companies AS mc  
on(mc.movie_id = t_ci.movie_id)
join company_name AS cn on (cn.country_code ='[us]' AND mc.company_id = cn.id);"
9a,"select count(*) from 
aka_name AS an 
join name AS n on (n.gender ='f' AND n.name LIKE '%Ang%' AND an.person_id = n.id)
JOIN cast_info AS ci  
on(ci.person_id = an.person_id and ci.note IN ('(voice)', '(voice: Japanese version)', '(voice) (uncredited)', '(voice: English version)'))
join role_type AS rt on (rt.role ='actress' AND ci.role_id = rt.id)
join title AS t on (t.production_year BETWEEN 2005 AND 2015 AND ci.movie_id = t.id)
join char_name AS chn on (chn.id = ci.person_role_id)
JOIN movie_companies AS mc  
on(mc.movie_id = ci.movie_id and mc.note IS NOT NULL AND (mc.note LIKE '%(USA)%' OR mc.note LIKE '%(worldwide)%'))
join company_name AS cn on (cn.country_code ='[us]' AND mc.company_id = cn.id);"
9b,"select count(*) from 
aka_name AS an 
join name AS n on (n.gender ='f' AND n.name LIKE '%Angel%' AND an.person_id = n.id)
JOIN cast_info AS ci  
on(ci.person_id = an.person_id and ci.note = '(voice)')
join role_type AS rt on (rt.role ='actress' AND ci.role_id = rt.id)
join title AS t on (t.production_year BETWEEN 2007 AND 2010 AND ci.movie_id = t.id)
join char_name AS chn on (chn.id = ci.person_role_id)
JOIN movie_companies AS mc  
on(mc.movie_id = ci.movie_id and mc.note LIKE '%(200%)%' AND (mc.note LIKE '%(USA)%' OR mc.note LIKE '%(worldwide)%'))
join company_name AS cn on (cn.country_code ='[us]' AND mc.company_id = cn.id);"
9c,"select count(*) from 
aka_name AS an 
join name AS n on (n.gender ='f' AND n.name LIKE '%An%' AND an.person_id = n.id)
JOIN cast_info AS ci  
on(ci.person_id = an.person_id and ci.note IN ('(voice)', '(voice: Japanese version)', '(voice) (uncredited)', '(voice: English version)'))
join role_type AS rt on (rt.role ='actress' AND ci.role_id = rt.id)
join char_name AS chn on (chn.id = ci.person_role_id)
join title AS t on (ci.movie_id = t.id)
JOIN movie_companies AS mc  
on(mc.movie_id = ci.movie_id)
join company_name AS cn on (cn.country_code ='[us]' AND mc.company_id = cn.id);"
9d,"select count(*) from 
aka_name AS an 
join name AS n on (n.gender ='f' AND an.person_id = n.id)
JOIN cast_info AS ci  
on(ci.person_id = an.person_id and ci.note IN ('(voice)', '(voice: Japanese version)', '(voice) (uncredited)', '(voice: English version)'))
join role_type AS rt on (rt.role ='actress' AND ci.role_id = rt.id)
join char_name AS chn on (chn.id = ci.person_role_id)
join title AS t on (ci.movie_id = t.id)
JOIN movie_companies AS mc  
on(mc.movie_id = ci.movie_id)
join company_name AS cn on (cn.country_code ='[us]' AND mc.company_id = cn.id);"
10a,"select count(*) from 
cast_info AS ci 
join role_type AS rt on (rt.role = 'actor' AND rt.id = ci.role_id and ci.note LIKE '%(voice)%' AND ci.note LIKE '%(uncredited)%')
join title AS t on (t.production_year > 2005 AND t.id = ci.movie_id)
join char_name AS chn on (chn.id = ci.person_role_id)
JOIN movie_companies AS mc  
on(mc.movie_id = ci.movie_id)
join company_type AS ct on (ct.id = mc.company_type_id)
join company_name AS cn on (cn.country_code = '[ru]' AND cn.id = mc.company_id);"
10b,"select count(*) from 
cast_info AS ci 
join role_type AS rt on (rt.role = 'actor' AND rt.id = ci.role_id and ci.note LIKE '%(producer)%')
join title AS t on (t.production_year > 2010 AND t.id = ci.movie_id)
join char_name AS chn on (chn.id = ci.person_role_id)
JOIN movie_companies AS mc  
on(mc.movie_id = ci.movie_id)
join company_type AS ct on (ct.id = mc.company_type_id)
join company_name AS cn on (cn.country_code = '[ru]' AND cn.id = mc.company_id);"
10c,"select count(*) from 
cast_info AS ci 
join role_type AS rt on (rt.id = ci.role_id and ci.note LIKE '%(producer)%')
join title AS t on (t.production_year > 1990 AND t.id = ci.movie_id)
join char_name AS chn on (chn.id = ci.person_role_id)
JOIN movie_companies AS mc  
on(mc.movie_id = ci.movie_id)
join company_type AS ct on (ct.id = mc.company_type_id)
join company_name AS cn on (cn.country_code = '[us]' AND cn.id = mc.company_id);"
11a,"select count(*) from 
movie_link AS ml 
join link_type AS lt on (lt.link LIKE '%follow%' AND lt.id = ml.link_type_id)
join title AS t on (t.production_year BETWEEN 1950 AND 2000 AND ml.movie_id = t.id)
JOIN movie_companies AS mc  
on(mc.movie_id = ml.movie_id and mc.note IS NULL)
join company_type AS ct on (ct.kind ='production companies' AND mc.company_type_id = ct.id)
join company_name AS cn on (cn.country_code !='[pl]' AND (cn.name LIKE '%Film%' OR cn.name LIKE '%Warner%') AND mc.company_id = cn.id)
join
 (select movie_id from movie_keyword AS mk 
join keyword AS k on (k.keyword ='sequel' AND mk.keyword_id = k.id)) as t_mk 
on(t_mk.movie_id = mc.movie_id);"
11b,"select count(*) from 
movie_companies AS mc 
join company_type AS ct on (ct.kind ='production companies' AND mc.company_type_id = ct.id and mc.note IS NULL)
join title AS t on (t.production_year = 1998 AND t.title LIKE '%Money%' AND t.id = mc.movie_id)
join company_name AS cn on (cn.country_code !='[pl]' AND (cn.name LIKE '%Film%' OR cn.name LIKE '%Warner%') AND mc.company_id = cn.id)
join
 (select linked_movie_id, movie_id from movie_link AS ml 
join link_type AS lt on (lt.link LIKE '%follows%' AND lt.id = ml.link_type_id)) as t_ml 
on(t_ml.movie_id = mc.movie_id)
join
 (select movie_id from movie_keyword AS mk 
join keyword AS k on (k.keyword ='sequel' AND mk.keyword_id = k.id)) as t_mk 
on(t_mk.movie_id = t_ml.movie_id);"
11c,"select count(*) from 
movie_link AS ml 
join link_type AS lt on (lt.id = ml.link_type_id)
join title AS t on (t.production_year > 1950 AND ml.movie_id = t.id)
JOIN movie_companies AS mc  
on(mc.movie_id = ml.movie_id and mc.note IS NOT NULL)
join company_type AS ct on (ct.kind != 'production companies' AND ct.kind IS NOT NULL AND mc.company_type_id = ct.id)
join company_name AS cn on (cn.country_code !='[pl]' AND (cn.name LIKE '20th Century Fox%' OR cn.name LIKE 'Twentieth Century Fox%') AND mc.company_id = cn.id)
join
 (select movie_id from movie_keyword AS mk 
join keyword AS k on (k.keyword IN ('sequel', 'revenge',  'based-on-novel') AND mk.keyword_id = k.id)) as t_mk 
on(t_mk.movie_id = mc.movie_id);"
11d,"select count(*) from 
movie_link AS ml 
join link_type AS lt on (lt.id = ml.link_type_id)
join title AS t on (t.production_year > 1950 AND ml.movie_id = t.id)
JOIN movie_companies AS mc  
on(mc.movie_id = ml.movie_id and mc.note IS NOT NULL)
join company_type AS ct on (ct.kind != 'production companies' AND ct.kind IS NOT NULL AND mc.company_type_id = ct.id)
join company_name AS cn on (cn.country_code !='[pl]' AND mc.company_id = cn.id)
join
 (select movie_id from movie_keyword AS mk 
join keyword AS k on (k.keyword IN ('sequel', 'revenge', 'based-on-novel') AND mk.keyword_id = k.id)) as t_mk 
on(t_mk.movie_id = mc.movie_id);"
12a,"select count(*) from 
movie_info_idx AS mi_idx 
join info_type AS it2 on (it2.info = 'rating' AND mi_idx.info_type_id = it2.id and mi_idx.info > '8.0')
join title AS t on (t.production_year BETWEEN 2005 AND 2008 AND t.id = mi_idx.movie_id)
JOIN movie_info AS mi  
on(mi.movie_id = mi_idx.movie_id and mi.info IN ('Drama', 'Horror'))
join info_type AS it1 on (it1.info = 'genres' AND mi.info_type_id = it1.id)
join
 (select movie_id from movie_companies AS mc 
join company_type AS ct on (ct.kind = 'production companies' AND ct.id = mc.company_type_id)
join company_name AS cn on (cn.country_code = '[us]' AND cn.id = mc.company_id)) as t_mc 
on(t_mc.movie_id = mi.movie_id);"
12b,"select count(*) from 
movie_info_idx AS mi_idx 
join info_type AS it2 on (it2.info ='bottom 10 rank' AND mi_idx.info_type_id = it2.id)
join title AS t on (t.production_year >2000 AND (t.title LIKE 'Birdemic%' OR t.title LIKE '%Movie%') AND t.id = mi_idx.movie_id)
JOIN movie_companies AS mc  
on(mc.movie_id = mi_idx.movie_id)
join company_type AS ct on (ct.kind IS NOT NULL AND (ct.kind ='production companies' OR ct.kind = 'distributors') AND ct.id = mc.company_type_id)
join company_name AS cn on (cn.country_code ='[us]' AND cn.id = mc.company_id)
join
 (select movie_id from movie_info AS mi 
join info_type AS it1 on (it1.info ='budget' AND mi.info_type_id = it1.id)) as t_mi 
on(t_mi.movie_id = mc.movie_id);"
12c,"select count(*) from 
movie_info_idx AS mi_idx 
join info_type AS it2 on (it2.info = 'rating' AND mi_idx.info_type_id = it2.id and mi_idx.info > '7.0')
join title AS t on (t.production_year BETWEEN 2000 AND 2010 AND t.id = mi_idx.movie_id)
JOIN movie_info AS mi  
on(mi.movie_id = mi_idx.movie_id and mi.info IN ('Drama', 'Horror', 'Western', 'Family'))
join info_type AS it1 on (it1.info = 'genres' AND mi.info_type_id = it1.id)
join
 (select movie_id from movie_companies AS mc 
join company_type AS ct on (ct.kind = 'production companies' AND ct.id = mc.company_type_id)
join company_name AS cn on (cn.country_code = '[us]' AND cn.id = mc.company_id)) as t_mc 
on(t_mc.movie_id = mi.movie_id);"
13a,"select count(*) from 
movie_info_idx AS miidx 
join info_type AS it on (it.info ='rating' AND it.id = miidx.info_type_id)
join title AS t on (miidx.movie_id = t.id)
join kind_type AS kt on (kt.kind ='movie' AND kt.id = t.kind_id)
join
 (select movie_id from movie_companies AS mc 
join company_type AS ct on (ct.kind ='production companies' AND ct.id = mc.company_type_id)
join company_name AS cn on (cn.country_code ='[de]' AND cn.id = mc.company_id)) as t_mc 
on(t_mc.movie_id = miidx.movie_id)
join
 (select movie_id from movie_info AS mi 
join info_type AS it2 on (it2.info ='release dates' AND it2.id = mi.info_type_id)) as t_mi 
on(t_mi.movie_id = t_mc.movie_id);"
13b,"select count(*) from 
movie_info_idx AS miidx 
join info_type AS it on (it.info ='rating' AND it.id = miidx.info_type_id)
join title AS t on (t.title != '' AND (t.title LIKE '%Champion%' OR t.title LIKE '%Loser%') AND miidx.movie_id = t.id)
join kind_type AS kt on (kt.kind ='movie' AND kt.id = t.kind_id)
join
 (select movie_id from movie_companies AS mc 
join company_type AS ct on (ct.kind ='production companies' AND ct.id = mc.company_type_id)
join company_name AS cn on (cn.country_code ='[us]' AND cn.id = mc.company_id)) as t_mc 
on(t_mc.movie_id = miidx.movie_id)
join
 (select movie_id from movie_info AS mi 
join info_type AS it2 on (it2.info ='release dates' AND it2.id = mi.info_type_id)) as t_mi 
on(t_mi.movie_id = t_mc.movie_id);"
13c,"select count(*) from 
movie_info_idx AS miidx 
join info_type AS it on (it.info ='rating' AND it.id = miidx.info_type_id)
join title AS t on (t.title != '' AND (t.title LIKE 'Champion%' OR t.title LIKE 'Loser%') AND miidx.movie_id = t.id)
join kind_type AS kt on (kt.kind ='movie' AND kt.id = t.kind_id)
join
 (select movie_id from movie_companies AS mc 
join company_type AS ct on (ct.kind ='production companies' AND ct.id = mc.company_type_id)
join company_name AS cn on (cn.country_code ='[us]' AND cn.id = mc.company_id)) as t_mc 
on(t_mc.movie_id = miidx.movie_id)
join
 (select movie_id from movie_info AS mi 
join info_type AS it2 on (it2.info ='release dates' AND it2.id = mi.info_type_id)) as t_mi 
on(t_mi.movie_id = t_mc.movie_id);"
13d,"select count(*) from 
movie_info_idx AS miidx 
join info_type AS it on (it.info ='rating' AND it.id = miidx.info_type_id)
join title AS t on (miidx.movie_id = t.id)
join kind_type AS kt on (kt.kind ='movie' AND kt.id = t.kind_id)
join
 (select movie_id from movie_companies AS mc 
join company_type AS ct on (ct.kind ='production companies' AND ct.id = mc.company_type_id)
join company_name AS cn on (cn.country_code ='[us]' AND cn.id = mc.company_id)) as t_mc 
on(t_mc.movie_id = miidx.movie_id)
join
 (select movie_id from movie_info AS mi 
join info_type AS it2 on (it2.info ='release dates' AND it2.id = mi.info_type_id)) as t_mi 
on(t_mi.movie_id = t_mc.movie_id);"
14a,"select count(*) from 
movie_keyword AS mk 
join keyword AS k on (k.keyword IN ('murder', 'murder-in-title', 'blood',  'violence') AND k.id = mk.keyword_id)
join title AS t on (t.production_year > 2010 AND t.id = mk.movie_id)
join kind_type AS kt on (kt.kind = 'movie' AND kt.id = t.kind_id)
join
 (select movie_id from movie_info_idx AS mi_idx 
join info_type AS it2 on (it2.info = 'rating' AND it2.id = mi_idx.info_type_id and mi_idx.info < '8.5')) as t_mi_idx 
on(t_mi_idx.movie_id = mk.movie_id)
JOIN movie_info AS mi  
on(mi.movie_id = t_mi_idx.movie_id and mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German', 'USA', 'American'))
join info_type AS it1 on (it1.info = 'countries' AND it1.id = mi.info_type_id);"
14b,"select count(*) from 
movie_info_idx AS mi_idx 
join info_type AS it2 on (it2.info = 'rating' AND it2.id = mi_idx.info_type_id and mi_idx.info > '6.0')
join title AS t on (t.production_year > 2010 AND (t.title LIKE '%murder%' OR t.title LIKE '%Murder%' OR t.title LIKE '%Mord%') AND t.id = mi_idx.movie_id)
join kind_type AS kt on (kt.kind = 'movie' AND kt.id = t.kind_id)
join
 (select movie_id from movie_keyword AS mk 
join keyword AS k on (k.keyword IN ('murder', 'murder-in-title') AND k.id = mk.keyword_id)) as t_mk 
on(t_mk.movie_id = mi_idx.movie_id)
JOIN movie_info AS mi  
on(mi.movie_id = t_mk.movie_id and mi.info IN ('Sweden', 'Norway', 'Germany',  'Denmark',  'Swedish',  'Denish', 'Norwegian',  'German', 'USA',  'American'))
join info_type AS it1 on (it1.info = 'countries' AND it1.id = mi.info_type_id);"
