label,query,flattened_query
3c,"select count(*) from  movie_info as mi  join title as t on (t.production_year > 1990 and t.id = mi.movie_id and mi.info in ('sweden','norway','germany','denmark','swedish','denish','norwegian', 'german','usa','american')) join  (select movie_id from movie_keyword as mk  join keyword as k on (k.keyword like '%sequel%' and k.id = mk.keyword_id)) as t_mk  on(t_mk.movie_id = mi.movie_id);","SELECT COUNT(*) FROM movie_info AS mi JOIN title AS t ON t.production_year > 1990 AND t.id = mi.movie_id AND mi.info IN ('sweden', 'norway', 'germany', 'denmark', 'swedish', 'denish', 'norwegian', 'german', 'usa', 'american') JOIN movie_keyword AS mk ON mk.movie_id = mi.movie_id JOIN keyword AS k ON k.keyword LIKE '%sequel%' AND k.id = mk.keyword_id"
4a,select count(*) from  movie_info_idx as mi_idx  join info_type as it on (it.info ='rating' and it.id = mi_idx.info_type_id and mi_idx.info > '5.0') join title as t on (t.production_year > 2005 and t.id = mi_idx.movie_id) join  (select movie_id from movie_keyword as mk  join keyword as k on (k.keyword like '%sequel%' and k.id = mk.keyword_id)) as t_mk  on(t_mk.movie_id = mi_idx.movie_id);,SELECT COUNT(*) FROM movie_info_idx AS mi_idx JOIN info_type AS it ON it.info = 'rating' AND it.id = mi_idx.info_type_id AND mi_idx.info > '5.0' JOIN title AS t ON t.production_year > 2005 AND t.id = mi_idx.movie_id JOIN movie_keyword AS mk ON mk.movie_id = mi_idx.movie_id JOIN keyword AS k ON k.keyword LIKE '%sequel%' AND k.id = mk.keyword_id
4b,select count(*) from  movie_info_idx as mi_idx  join info_type as it on (it.info ='rating' and it.id = mi_idx.info_type_id and mi_idx.info > '9.0') join title as t on (t.production_year > 2010 and t.id = mi_idx.movie_id) join  (select movie_id from movie_keyword as mk  join keyword as k on (k.keyword like '%sequel%' and k.id = mk.keyword_id)) as t_mk  on(t_mk.movie_id = mi_idx.movie_id);,SELECT COUNT(*) FROM movie_info_idx AS mi_idx JOIN info_type AS it ON it.info = 'rating' AND it.id = mi_idx.info_type_id AND mi_idx.info > '9.0' JOIN title AS t ON t.production_year > 2010 AND t.id = mi_idx.movie_id JOIN movie_keyword AS mk ON mk.movie_id = mi_idx.movie_id JOIN keyword AS k ON k.keyword LIKE '%sequel%' AND k.id = mk.keyword_id
4c,select count(*) from  movie_info_idx as mi_idx  join info_type as it on (it.info ='rating' and it.id = mi_idx.info_type_id and mi_idx.info > '2.0') join title as t on (t.production_year > 1990 and t.id = mi_idx.movie_id) join  (select movie_id from movie_keyword as mk  join keyword as k on (k.keyword like '%sequel%' and k.id = mk.keyword_id)) as t_mk  on(t_mk.movie_id = mi_idx.movie_id);,SELECT COUNT(*) FROM movie_info_idx AS mi_idx JOIN info_type AS it ON it.info = 'rating' AND it.id = mi_idx.info_type_id AND mi_idx.info > '2.0' JOIN title AS t ON t.production_year > 1990 AND t.id = mi_idx.movie_id JOIN movie_keyword AS mk ON mk.movie_id = mi_idx.movie_id JOIN keyword AS k ON k.keyword LIKE '%sequel%' AND k.id = mk.keyword_id
5a,"select count(*) from  movie_companies as mc  join company_type as ct on (ct.kind = 'production companies' and ct.id = mc.company_type_id and mc.note like '%(theatrical)%' and mc.note like '%(france)%') join title as t on (t.production_year > 2005 and t.id = mc.movie_id) join movie_info as mi   on(mi.movie_id = mc.movie_id and mi.info in ('sweden', 'norway',  'germany', 'denmark', 'swedish', 'denish', 'norwegian', 'german')) join info_type as it on (it.id = mi.info_type_id);","SELECT COUNT(*) FROM movie_companies AS mc JOIN company_type AS ct ON ct.kind = 'production companies' AND ct.id = mc.company_type_id AND mc.note LIKE '%(theatrical)%' AND mc.note LIKE '%(france)%' JOIN title AS t ON t.production_year > 2005 AND t.id = mc.movie_id JOIN movie_info AS mi ON mi.movie_id = mc.movie_id AND mi.info IN ('sweden', 'norway', 'germany', 'denmark', 'swedish', 'denish', 'norwegian', 'german') JOIN info_type AS it ON it.id = mi.info_type_id"
5b,"select count(*) from  movie_companies as mc  join company_type as ct on (ct.kind = 'production companies' and ct.id = mc.company_type_id and mc.note like '%(vhs)%' and mc.note like '%(usa)%' and mc.note like '%(1994)%') join title as t on (t.production_year > 2010 and t.id = mc.movie_id) join movie_info as mi   on(mi.movie_id = mc.movie_id and mi.info in ('usa','america')) join info_type as it on (it.id = mi.info_type_id);","SELECT COUNT(*) FROM movie_companies AS mc JOIN company_type AS ct ON ct.kind = 'production companies' AND ct.id = mc.company_type_id AND mc.note LIKE '%(vhs)%' AND mc.note LIKE '%(usa)%' AND mc.note LIKE '%(1994)%' JOIN title AS t ON t.production_year > 2010 AND t.id = mc.movie_id JOIN movie_info AS mi ON mi.movie_id = mc.movie_id AND mi.info IN ('usa', 'america') JOIN info_type AS it ON it.id = mi.info_type_id"
5c,"select count(*) from  movie_companies as mc  join company_type as ct on (ct.kind = 'production companies' and ct.id = mc.company_type_id and mc.note not like '%(tv)%' and mc.note like '%(usa)%') join title as t on (t.production_year > 1990 and t.id = mc.movie_id) join movie_info as mi   on(mi.movie_id = mc.movie_id and mi.info in ('sweden','norway', 'germany', 'denmark', 'swedish','denish','norwegian', 'german', 'usa','american')) join info_type as it on (it.id = mi.info_type_id);","SELECT COUNT(*) FROM movie_companies AS mc JOIN company_type AS ct ON ct.kind = 'production companies' AND ct.id = mc.company_type_id AND mc.note NOT LIKE '%(tv)%' AND mc.note LIKE '%(usa)%' JOIN title AS t ON t.production_year > 1990 AND t.id = mc.movie_id JOIN movie_info AS mi ON mi.movie_id = mc.movie_id AND mi.info IN ('sweden', 'norway', 'germany', 'denmark', 'swedish', 'denish', 'norwegian', 'german', 'usa', 'american') JOIN info_type AS it ON it.id = mi.info_type_id"
6a,"select count(*) from  movie_keyword as mk  join keyword as k on (k.keyword = 'marvel-cinematic-universe' and k.id = mk.keyword_id) join title as t on (t.production_year > 2010 and t.id = mk.movie_id) join  (select person_id, movie_id from cast_info as ci  join name as n on (n.name like '%downey%robert%' and n.id = ci.person_id)) as t_ci  on(t_ci.movie_id = mk.movie_id);",SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.keyword = 'marvel-cinematic-universe' AND k.id = mk.keyword_id JOIN title AS t ON t.production_year > 2010 AND t.id = mk.movie_id JOIN cast_info AS ci ON ci.movie_id = mk.movie_id JOIN name AS n ON n.name LIKE '%downey%robert%' AND n.id = ci.person_id
6b,"select count(*) from  movie_keyword as mk  join keyword as k on (k.keyword in ('superhero', 'sequel', 'second-part',   'marvel-comics',  'based-on-comic', 'tv-special', 'fight',  'violence') and k.id = mk.keyword_id) join title as t on (t.production_year > 2014 and t.id = mk.movie_id) join  (select person_id, movie_id from cast_info as ci  join name as n on (n.name like '%downey%robert%' and n.id = ci.person_id)) as t_ci  on(t_ci.movie_id = mk.movie_id);","SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.keyword IN ('superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence') AND k.id = mk.keyword_id JOIN title AS t ON t.production_year > 2014 AND t.id = mk.movie_id JOIN cast_info AS ci ON ci.movie_id = mk.movie_id JOIN name AS n ON n.name LIKE '%downey%robert%' AND n.id = ci.person_id"
6c,"select count(*) from  movie_keyword as mk  join keyword as k on (k.keyword = 'marvel-cinematic-universe' and k.id = mk.keyword_id) join title as t on (t.production_year > 2014 and t.id = mk.movie_id) join  (select person_id, movie_id from cast_info as ci  join name as n on (n.name like '%downey%robert%' and n.id = ci.person_id)) as t_ci  on(t_ci.movie_id = mk.movie_id);",SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.keyword = 'marvel-cinematic-universe' AND k.id = mk.keyword_id JOIN title AS t ON t.production_year > 2014 AND t.id = mk.movie_id JOIN cast_info AS ci ON ci.movie_id = mk.movie_id JOIN name AS n ON n.name LIKE '%downey%robert%' AND n.id = ci.person_id
6d,"select count(*) from  movie_keyword as mk  join keyword as k on (k.keyword in ('superhero', 'sequel', 'second-part','marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence') and k.id = mk.keyword_id) join title as t on (t.production_year > 2000 and t.id = mk.movie_id) join  (select person_id, movie_id from cast_info as ci  join name as n on (n.name like '%downey%robert%' and n.id = ci.person_id)) as t_ci  on(t_ci.movie_id = mk.movie_id);","SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.keyword IN ('superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence') AND k.id = mk.keyword_id JOIN title AS t ON t.production_year > 2000 AND t.id = mk.movie_id JOIN cast_info AS ci ON ci.movie_id = mk.movie_id JOIN name AS n ON n.name LIKE '%downey%robert%' AND n.id = ci.person_id"
6e,"select count(*) from  movie_keyword as mk  join keyword as k on (k.keyword = 'marvel-cinematic-universe' and k.id = mk.keyword_id) join title as t on (t.production_year > 2000 and t.id = mk.movie_id) join  (select person_id, movie_id from cast_info as ci  join name as n on (n.name like '%downey%robert%' and n.id = ci.person_id)) as t_ci  on(t_ci.movie_id = mk.movie_id);",SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.keyword = 'marvel-cinematic-universe' AND k.id = mk.keyword_id JOIN title AS t ON t.production_year > 2000 AND t.id = mk.movie_id JOIN cast_info AS ci ON ci.movie_id = mk.movie_id JOIN name AS n ON n.name LIKE '%downey%robert%' AND n.id = ci.person_id
6f,"select count(*) from  movie_keyword as mk  join keyword as k on (k.keyword in ('superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight','violence') and k.id = mk.keyword_id) join title as t on (t.production_year > 2000 and t.id = mk.movie_id) join cast_info as ci   on(ci.movie_id = mk.movie_id) join name as n on (n.id = ci.person_id);","SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.keyword IN ('superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence') AND k.id = mk.keyword_id JOIN title AS t ON t.production_year > 2000 AND t.id = mk.movie_id JOIN cast_info AS ci ON ci.movie_id = mk.movie_id JOIN name AS n ON n.id = ci.person_id"
7a,"select count(*) from  person_info as pi  join info_type as it on (it.info ='mini biography' and it.id = pi.info_type_id and pi.note ='volker boehm') join name as n on (n.name_pcode_cf between 'a' and 'f' and (n.gender='m' or (n.gender = 'f' and n.name like 'b%')) and n.id = pi.person_id) join aka_name as an   on(an.person_id = pi.person_id and an.name like '%a%') join cast_info as ci   on(ci.person_id = an.person_id) join title as t on (t.production_year between 1980 and 1995 and t.id = ci.movie_id) join  (select linked_movie_id, movie_id from movie_link as ml  join link_type as lt on (lt.link ='features' and lt.id = ml.link_type_id)) as t_ml  on(t_ml.linked_movie_id = ci.movie_id);",SELECT COUNT(*) FROM person_info AS pi JOIN info_type AS it ON it.info = 'mini biography' AND it.id = pi.info_type_id AND pi.note = 'volker boehm' JOIN name AS n ON n.name_pcode_cf BETWEEN 'a' AND 'f' AND (n.gender = 'm' OR n.gender = 'f' AND n.name LIKE 'b%') AND n.id = pi.person_id JOIN aka_name AS an ON an.person_id = pi.person_id AND an.name LIKE '%a%' JOIN cast_info AS ci ON ci.person_id = an.person_id JOIN title AS t ON t.production_year BETWEEN 1980 AND 1995 AND t.id = ci.movie_id JOIN movie_link AS ml ON ml.linked_movie_id = ci.movie_id JOIN link_type AS lt ON lt.link = 'features' AND lt.id = ml.link_type_id
7b,"select count(*) from  person_info as pi  join info_type as it on (it.info ='mini biography' and it.id = pi.info_type_id and pi.note ='volker boehm') join name as n on (n.name_pcode_cf like 'd%' and n.gender='m' and n.id = pi.person_id) join aka_name as an   on(an.person_id = pi.person_id and an.name like '%a%') join cast_info as ci   on(ci.person_id = an.person_id) join title as t on (t.production_year between 1980 and 1984 and t.id = ci.movie_id) join  (select linked_movie_id, movie_id from movie_link as ml  join link_type as lt on (lt.link ='features' and lt.id = ml.link_type_id)) as t_ml  on(t_ml.linked_movie_id = ci.movie_id);",SELECT COUNT(*) FROM person_info AS pi JOIN info_type AS it ON it.info = 'mini biography' AND it.id = pi.info_type_id AND pi.note = 'volker boehm' JOIN name AS n ON n.name_pcode_cf LIKE 'd%' AND n.gender = 'm' AND n.id = pi.person_id JOIN aka_name AS an ON an.person_id = pi.person_id AND an.name LIKE '%a%' JOIN cast_info AS ci ON ci.person_id = an.person_id JOIN title AS t ON t.production_year BETWEEN 1980 AND 1984 AND t.id = ci.movie_id JOIN movie_link AS ml ON ml.linked_movie_id = ci.movie_id JOIN link_type AS lt ON lt.link = 'features' AND lt.id = ml.link_type_id
7c,"select count(*) from  movie_link as ml  join link_type as lt on (lt.link in ('references', 'referenced in', 'features', 'featured in') and lt.id = ml.link_type_id) join title as t on (t.production_year between 1980 and 2010 and ml.linked_movie_id = t.id) join cast_info as ci   on(ci.movie_id = ml.linked_movie_id) join aka_name as an   on(an.person_id = ci.person_id and an.name is not null and (an.name like '%a%' or an.name like 'a%')) join person_info as pi   on(pi.person_id = an.person_id and pi.note is not null) join info_type as it on (it.info ='mini biography' and it.id = pi.info_type_id) join name as n on (n.name_pcode_cf between 'a' and 'f' and (n.gender='m' or (n.gender = 'f' and n.name like 'a%')) and n.id = pi.person_id);","SELECT COUNT(*) FROM movie_link AS ml JOIN link_type AS lt ON lt.link IN ('references', 'referenced in', 'features', 'featured in') AND lt.id = ml.link_type_id JOIN title AS t ON t.production_year BETWEEN 1980 AND 2010 AND ml.linked_movie_id = t.id JOIN cast_info AS ci ON ci.movie_id = ml.linked_movie_id JOIN aka_name AS an ON an.person_id = ci.person_id AND an.name IS NOT NULL AND (an.name LIKE '%a%' OR an.name LIKE 'a%') JOIN person_info AS pi ON pi.person_id = an.person_id AND pi.note IS NOT NULL JOIN info_type AS it ON it.info = 'mini biography' AND it.id = pi.info_type_id JOIN name AS n ON n.name_pcode_cf BETWEEN 'a' AND 'f' AND (n.gender = 'm' OR n.gender = 'f' AND n.name LIKE 'a%') AND n.id = pi.person_id"
8a,select count(*) from  movie_companies as mc  join company_name as cn on (cn.country_code ='[jp]' and mc.company_id = cn.id and mc.note like '%(japan)%' and mc.note not like '%(usa)%') join title as t on (t.id = mc.movie_id) join cast_info as ci   on(ci.movie_id = mc.movie_id and ci.note ='(voice: english version)') join role_type as rt on (rt.role ='actress' and ci.role_id = rt.id) join aka_name as an1   on(an1.person_id = ci.person_id) join name as n1 on (n1.name like '%yo%' and n1.name not like '%yu%' and an1.person_id = n1.id);,SELECT COUNT(*) FROM movie_companies AS mc JOIN company_name AS cn ON cn.country_code = '[jp]' AND mc.company_id = cn.id AND mc.note LIKE '%(japan)%' AND mc.note NOT LIKE '%(usa)%' JOIN title AS t ON t.id = mc.movie_id JOIN cast_info AS ci ON ci.movie_id = mc.movie_id AND ci.note = '(voice: english version)' JOIN role_type AS rt ON rt.role = 'actress' AND ci.role_id = rt.id JOIN aka_name AS an1 ON an1.person_id = ci.person_id JOIN name AS n1 ON n1.name LIKE '%yo%' AND n1.name NOT LIKE '%yu%' AND an1.person_id = n1.id
8b,select count(*) from  movie_companies as mc  join title as t on (t.production_year between 2006 and 2007 and (t.title like 'one piece%' or t.title like 'dragon ball z%') and t.id = mc.movie_id and mc.note like '%(japan)%' and mc.note not like '%(usa)%' and (mc.note like '%(2006)%' or mc.note like '%(2007)%')) join company_name as cn on (cn.country_code ='[jp]' and mc.company_id = cn.id) join cast_info as ci   on(ci.movie_id = mc.movie_id and ci.note ='(voice: english version)') join role_type as rt on (rt.role ='actress' and ci.role_id = rt.id) join aka_name as an   on(an.person_id = ci.person_id) join name as n on (n.name like '%yo%' and n.name not like '%yu%' and an.person_id = n.id);,SELECT COUNT(*) FROM movie_companies AS mc JOIN title AS t ON t.production_year BETWEEN 2006 AND 2007 AND (t.title LIKE 'one piece%' OR t.title LIKE 'dragon ball z%') AND t.id = mc.movie_id AND mc.note LIKE '%(japan)%' AND mc.note NOT LIKE '%(usa)%' AND (mc.note LIKE '%(2006)%' OR mc.note LIKE '%(2007)%') JOIN company_name AS cn ON cn.country_code = '[jp]' AND mc.company_id = cn.id JOIN cast_info AS ci ON ci.movie_id = mc.movie_id AND ci.note = '(voice: english version)' JOIN role_type AS rt ON rt.role = 'actress' AND ci.role_id = rt.id JOIN aka_name AS an ON an.person_id = ci.person_id JOIN name AS n ON n.name LIKE '%yo%' AND n.name NOT LIKE '%yu%' AND an.person_id = n.id
8c,"select count(*) from  aka_name as a1  join name as n1 on (a1.person_id = n1.id) join  (select person_id, movie_id from cast_info as ci  join role_type as rt on (rt.role ='writer' and ci.role_id = rt.id) join title as t on (ci.movie_id = t.id)) as t_ci  on(t_ci.person_id = a1.person_id) join movie_companies as mc   on(mc.movie_id = t_ci.movie_id) join company_name as cn on (cn.country_code ='[us]' and mc.company_id = cn.id);",SELECT COUNT(*) FROM aka_name AS a1 JOIN name AS n1 ON a1.person_id = n1.id JOIN cast_info AS ci ON ci.person_id = a1.person_id JOIN role_type AS rt ON rt.role = 'writer' AND ci.role_id = rt.id JOIN title AS t ON ci.movie_id = t.id JOIN movie_companies AS mc ON mc.movie_id = ci.movie_id JOIN company_name AS cn ON cn.country_code = '[us]' AND mc.company_id = cn.id
8d,"select count(*) from  aka_name as an1  join name as n1 on (an1.person_id = n1.id) join  (select person_id, movie_id from cast_info as ci  join role_type as rt on (rt.role ='costume designer' and ci.role_id = rt.id) join title as t on (ci.movie_id = t.id)) as t_ci  on(t_ci.person_id = an1.person_id) join movie_companies as mc   on(mc.movie_id = t_ci.movie_id) join company_name as cn on (cn.country_code ='[us]' and mc.company_id = cn.id);",SELECT COUNT(*) FROM aka_name AS an1 JOIN name AS n1 ON an1.person_id = n1.id JOIN cast_info AS ci ON ci.person_id = an1.person_id JOIN role_type AS rt ON rt.role = 'costume designer' AND ci.role_id = rt.id JOIN title AS t ON ci.movie_id = t.id JOIN movie_companies AS mc ON mc.movie_id = ci.movie_id JOIN company_name AS cn ON cn.country_code = '[us]' AND mc.company_id = cn.id
9a,"select count(*) from  aka_name as an  join name as n on (n.gender ='f' and n.name like '%ang%' and an.person_id = n.id) join cast_info as ci   on(ci.person_id = an.person_id and ci.note in ('(voice)', '(voice: japanese version)', '(voice) (uncredited)', '(voice: english version)')) join role_type as rt on (rt.role ='actress' and ci.role_id = rt.id) join title as t on (t.production_year between 2005 and 2015 and ci.movie_id = t.id) join char_name as chn on (chn.id = ci.person_role_id) join movie_companies as mc   on(mc.movie_id = ci.movie_id and mc.note is not null and (mc.note like '%(usa)%' or mc.note like '%(worldwide)%')) join company_name as cn on (cn.country_code ='[us]' and mc.company_id = cn.id);","SELECT COUNT(*) FROM aka_name AS an JOIN name AS n ON n.gender = 'f' AND n.name LIKE '%ang%' AND an.person_id = n.id JOIN cast_info AS ci ON ci.person_id = an.person_id AND ci.note IN ('(voice)', '(voice: japanese version)', '(voice) (uncredited)', '(voice: english version)') JOIN role_type AS rt ON rt.role = 'actress' AND ci.role_id = rt.id JOIN title AS t ON t.production_year BETWEEN 2005 AND 2015 AND ci.movie_id = t.id JOIN char_name AS chn ON chn.id = ci.person_role_id JOIN movie_companies AS mc ON mc.movie_id = ci.movie_id AND mc.note IS NOT NULL AND (mc.note LIKE '%(usa)%' OR mc.note LIKE '%(worldwide)%') JOIN company_name AS cn ON cn.country_code = '[us]' AND mc.company_id = cn.id"
9b,select count(*) from  aka_name as an  join name as n on (n.gender ='f' and n.name like '%angel%' and an.person_id = n.id) join cast_info as ci   on(ci.person_id = an.person_id and ci.note = '(voice)') join role_type as rt on (rt.role ='actress' and ci.role_id = rt.id) join title as t on (t.production_year between 2007 and 2010 and ci.movie_id = t.id) join char_name as chn on (chn.id = ci.person_role_id) join movie_companies as mc   on(mc.movie_id = ci.movie_id and mc.note like '%(200%)%' and (mc.note like '%(usa)%' or mc.note like '%(worldwide)%')) join company_name as cn on (cn.country_code ='[us]' and mc.company_id = cn.id);,SELECT COUNT(*) FROM aka_name AS an JOIN name AS n ON n.gender = 'f' AND n.name LIKE '%angel%' AND an.person_id = n.id JOIN cast_info AS ci ON ci.person_id = an.person_id AND ci.note = '(voice)' JOIN role_type AS rt ON rt.role = 'actress' AND ci.role_id = rt.id JOIN title AS t ON t.production_year BETWEEN 2007 AND 2010 AND ci.movie_id = t.id JOIN char_name AS chn ON chn.id = ci.person_role_id JOIN movie_companies AS mc ON mc.movie_id = ci.movie_id AND mc.note LIKE '%(200%)%' AND (mc.note LIKE '%(usa)%' OR mc.note LIKE '%(worldwide)%') JOIN company_name AS cn ON cn.country_code = '[us]' AND mc.company_id = cn.id
